,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
0,1,300139,晓程科技,27.35,20.01,4.56,1318636.0,3412289154.69,16.72,27.35,23.54,23.54,22.79,1.69,56.43,88.27,7.07,7493900000.0,6390579804.0,0.04,2.05,28.83,87.46
1,2,300528,幸福蓝海,25.74,20.0,4.29,686677.0,1584910618.46,22.8,25.74,20.85,21.02,21.45,1.42,18.43,555.4,17.72,9590931310.0,9590931310.0,0.0,2.1,147.26,195.86
2,3,301617,博苑股份,84.7,15.24,11.2,92570.0,729701401.5,23.66,88.19,70.8,72.01,73.5,1.15,27.71,57.14,6.73,11319308000.0,2829827000.0,-0.18,1.07,117.85,118.64
3,4,300472,*ST新元,6.93,13.79,0.84,372871.0,250131730.86,18.56,7.25,6.12,6.18,6.09,2.35,14.08,-14.66,-49.72,1907542244.0,1835350701.0,0.0,-0.14,133.33,5.64
4,5,301238,瑞泰新材,24.0,13.05,2.77,708395.0,1676577062.81,22.0,25.47,20.8,20.91,21.23,2.17,9.66,107.44,2.45,17599999200.0,17599999200.0,0.04,0.04,36.05,54.24
5,6,688331,荣昌生物,104.09,11.92,11.09,207940.0,2193032651.0,19.46,111.6,93.5,93.51,93.0,2.21,12.82,-65.25,24.88,58665982014.0,16885882836.0,-0.01,-0.03,68.79,245.7
6,7,831834,三维装备,17.15,11.36,1.75,68316.0,109119471.14,15.13,17.23,14.9,15.48,15.4,1.56,10.88,47.98,7.13,2058000086.0,1076958929.0,0.0,2.08,41.62,140.87
7,8,839946,华阳变速,12.43,10.98,1.23,381985.0,488165524.05,25.18,14.07,11.25,11.3,11.2,2.39,35.19,461.76,7.54,1677931206.0,1349438861.0,0.0,0.65,24.18,95.75
8,9,300805,电声股份,13.01,10.91,1.28,358626.0,451453744.8,17.48,13.6,11.55,11.66,11.73,4.14,12.45,120.64,3.57,5519539232.0,3748997924.0,0.08,1.56,20.13,17.63
9,10,688779,五矿新能,7.95,10.88,0.78,1737653.0,1350402841.0,16.46,8.21,7.03,7.09,7.17,2.12,9.01,-285.86,2.29,15337290215.0,15337290215.0,0.13,0.13,54.37,49.44
10,11,830974,凯大催化,10.64,10.49,1.01,286401.0,302071536.83,17.03,11.25,9.61,9.82,9.63,2.48,22.24,83.79,2.76,1742832000.0,1370143848.0,-0.19,-0.09,22.02,53.98
11,12,600103,青山纸业,3.14,10.18,0.29,3826523.0,1124316465.0,12.28,3.14,2.79,2.81,2.85,1.07,17.3,62.73,1.78,7036195986.0,6946713208.0,0.0,0.0,42.73,23.14
12,13,000718,苏宁环球,2.49,10.18,0.23,1373939.0,336268509.96,9.73,2.49,2.27,2.28,2.26,3.62,6.02,27.52,0.8,7556244596.0,5682411874.0,0.0,0.0,16.9,7.33
13,14,300290,荣科科技,26.22,10.17,2.42,677084.0,1803682298.0,17.18,28.56,24.47,24.91,23.8,2.33,10.59,-308.01,21.47,16773787959.0,16768802882.0,0.11,-0.15,54.87,28.85
14,15,600376,首开股份,4.25,10.1,0.39,1761774.0,740839408.0,4.92,4.25,4.06,4.13,3.86,0.75,6.83,-2.98,1.39,10963152279.0,10963152279.0,0.0,0.0,76.35,61.6
15,16,000953,河化股份,7.87,10.07,0.72,324201.0,252158849.54,10.63,7.87,7.11,7.16,7.15,1.97,8.85,375.36,19.26,2881381675.0,2881381675.0,0.0,0.0,9.15,40.79
16,17,603959,百利科技,5.69,10.06,0.52,517159.0,289821895.0,10.64,5.69,5.14,5.15,5.17,2.29,10.55,-26.77,31.89,2789801264.0,2789801264.0,0.0,0.0,-3.23,27.58
17,18,000892,欢瑞世纪,6.25,10.04,0.57,1614164.0,971537307.89,11.09,6.25,5.62,5.7,5.68,1.95,22.71,-479.46,7.02,6131127956.0,4442727838.0,0.0,0.0,59.03,91.72
18,19,600689,上海三毛,15.14,10.03,1.38,68253.0,100651153.0,10.25,15.14,13.73,13.73,13.76,1.08,4.48,134.16,6.48,3043008933.0,2304370725.0,0.0,0.0,28.31,41.63
19,20,002239,奥特佳,3.4,10.03,0.31,3037680.0,984010563.82,11.0,3.4,3.06,3.08,3.09,2.39,9.37,76.43,2.0,11250035070.0,11026706240.0,0.0,0.0,19.3,11.48
20,21,603878,武进不锈,6.37,10.02,0.58,710853.0,443681600.0,10.36,6.37,5.77,5.8,5.79,6.1,12.67,23.67,1.37,3574010581.0,3574010581.0,0.0,0.0,21.1,13.14
21,22,002237,恒邦股份,14.71,10.02,1.34,356583.0,504340091.88,8.83,14.71,13.53,13.67,13.37,0.93,3.92,27.33,1.77,16888270510.0,13392962686.0,0.0,0.0,20.57,47.69
22,23,603429,集友股份,13.07,10.02,1.19,386702.0,496864213.0,11.03,13.07,11.76,11.76,11.88,1.94,7.37,-2470.91,5.53,6855025028.0,6855025028.0,0.0,0.0,36.15,108.79
23,24,002545,东方铁塔,12.3,10.02,1.12,418658.0,503857215.04,10.82,12.3,11.09,11.17,11.18,2.56,3.7,15.51,1.67,15301963621.0,13901013608.0,0.0,0.0,43.36,82.76
24,25,002276,万马股份,17.46,10.02,1.59,1334907.0,2297465807.04,7.37,17.46,16.29,16.29,15.87,1.85,13.25,35.36,3.0,17709500537.0,17586683143.0,0.0,0.0,32.17,107.61
25,26,002866,传艺科技,20.76,10.02,1.89,244172.0,505769267.16,3.92,20.76,20.02,20.76,18.87,2.2,13.47,71.29,2.93,6010482035.0,3763092665.0,0.0,0.0,21.12,28.31
26,27,001332,锡装股份,46.05,10.01,4.19,133309.0,596947348.93,12.14,46.05,40.97,41.86,41.86,6.19,49.37,20.65,2.05,5065500000.0,1243350000.0,0.0,0.0,26.58,33.79
27,28,605268,王力安防,11.54,10.01,1.05,220779.0,248810914.0,11.06,11.54,10.38,10.48,10.49,3.28,5.04,37.94,3.0,5150330850.0,5051014725.0,0.0,0.0,27.94,40.73
28,29,002759,天际股份,16.81,10.01,1.53,1224731.0,2053078203.87,3.99,16.81,16.2,16.81,15.28,3.61,24.45,-80.48,2.69,8428241590.0,8420836583.0,0.0,0.0,106.0,91.68
29,30,605255,天普股份,69.09,10.0,6.28,11429.0,78963997.0,0.0,69.09,69.09,69.09,62.81,5.09,0.85,409.96,11.46,9263587200.0,9263587200.0,0.0,0.0,244.42,455.39
30,31,601116,三江购物,13.42,10.0,1.22,406443.0,515678799.0,11.48,13.42,12.02,12.18,12.2,0.78,7.42,40.22,2.3,7349844128.0,7349844128.0,0.0,0.0,25.07,25.66
31,32,600715,文投控股,2.97,10.0,0.27,1158134.0,338478001.0,11.48,2.97,2.66,2.71,2.7,0.56,4.35,1331.55,10.75,12057764895.0,7907245556.0,0.0,0.0,24.79,32.0
32,33,603257,中国瑞林,72.57,10.0,6.6,74797.0,523245523.0,11.44,72.57,65.02,65.05,65.97,0.66,30.65,58.25,3.59,8708400000.0,1770719829.0,0.0,0.0,42.55,262.49
33,34,002846,英联股份,22.23,10.0,2.02,682411.0,1427453291.12,14.25,22.23,19.35,19.35,20.21,1.13,26.55,185.41,6.66,9336458528.0,5713512274.0,0.0,0.0,80.58,170.44
34,35,600988,赤峰黄金,30.8,10.0,2.8,1576169.0,4746639073.0,7.79,30.8,28.62,28.76,28.0,1.71,9.47,26.44,5.04,58532664282.0,51248470442.0,0.03,0.69,9.88,99.35
