年度,预测机构数,最小值,均值,最大值,行业平均数,股票代码
2025,18.0,0.67,0.72,0.83,1.71,002156
2026,18.0,0.86,0.92,1.05,2.33,002156
2027,17.0,1.02,1.12,1.33,3.0,002156
2025,23.0,0.59,0.68,1.11,1.99,002837
2026,23.0,0.72,1.02,1.67,2.49,002837
2027,22.0,0.77,1.39,2.44,3.06,002837
2025,4.0,0.04,0.07,0.12,0.89,300229
2026,4.0,0.05,0.1,0.16,1.27,300229
2027,4.0,0.05,0.13,0.23,1.72,300229
2025,25.0,0.31,0.41,0.71,0.89,002230
2026,25.0,0.4,0.58,1.05,1.27,002230
2027,23.0,0.51,0.78,1.5,1.72,002230
2025,39.0,3.66,4.03,4.33,0.89,688111
2026,39.0,3.92,4.83,5.56,1.27,688111
2027,38.0,4.5,5.86,6.92,1.72,688111
2025,10.0,1.53,1.71,1.94,1.71,603019
2026,10.0,1.81,2.12,2.6,2.33,603019
2027,10.0,2.11,2.58,3.59,3.0,603019
2025,18.0,0.98,1.12,1.4,0.89,300496
2026,18.0,1.13,1.35,1.91,1.27,300496
2027,17.0,1.37,1.66,2.58,1.72,300496
2025,54.0,73.09,74.66,76.1,8.76,600519
2026,54.0,76.82,80.58,84.27,9.55,600519
2027,53.0,80.33,86.85,92.47,10.55,600519
